# Genepanel: PU Version: 01 Date: 2016-10-14
#gene symbol	refseq	x10
WAC	NM_016628.4	100
WDPCP	NM_015910.5	100
WDR19	NM_025132.3	100
WDR34	NM_052844.3	100
WDR60	NM_018051.4	100
WNT1	NM_005430.3	100
WNT3	NM_030753.4	100
WNT5A	NM_003392.4	100
XPA	NM_000380.3	100
XPNPEP3	NM_022098.3	100
ZBTB16	NM_006006.4	100
ZBTB20	NM_001164342.2	100
ZC4H2	NM_018684.3	100
ZDHHC15	NM_001146256.1	100
ZEB2	NM_014795.3	100
ZFYVE26	NM_015346.3	100
